Turn 0: 1000000 HEALTHY, 10 INFECTED, 0 DISEASED.
Turn 45: 998452 HEALTHY, 657 INFECTED, 901 DISEASED.
Turn 46: 998249 HEALTHY, 745 INFECTED, 1016 DISEASED.
Turn 47: 998065 HEALTHY, 811 INFECTED, 1134 DISEASED.
Turn 48: 997827 HEALTHY, 914 INFECTED, 1269 DISEASED.
Turn 49: 997549 HEALTHY, 1035 INFECTED, 1426 DISEASED.
Turn 50: 997236 HEALTHY, 1193 INFECTED, 1581 DISEASED.
Turn 51: 996938 HEALTHY, 1302 INFECTED, 1770 DISEASED.
Turn 52: 996575 HEALTHY, 1455 INFECTED, 1980 DISEASED.
Turn 53: 996086 HEALTHY, 1677 INFECTED, 2247 DISEASED.
Turn 54: 995606 HEALTHY, 1877 INFECTED, 2527 DISEASED.
Turn 55: 995004 HEALTHY, 2159 INFECTED, 2847 DISEASED.
Turn 56: 994406 HEALTHY, 2387 INFECTED, 3217 DISEASED.
Turn 57: 993702 HEALTHY, 2704 INFECTED, 3604 DISEASED.
Turn 58: 992971 HEALTHY, 2976 INFECTED, 4063 DISEASED.
Turn 59: 991993 HEALTHY, 3460 INFECTED, 4557 DISEASED.
Turn 60: 990986 HEALTHY, 3924 INFECTED, 5100 DISEASED.
Turn 61: 989840 HEALTHY, 4446 INFECTED, 5724 DISEASED.
Turn 62: 988605 HEALTHY, 4946 INFECTED, 6459 DISEASED.
Turn 63: 987278 HEALTHY, 5407 INFECTED, 7325 DISEASED.
Turn 64: 985671 HEALTHY, 6115 INFECTED, 8224 DISEASED.
Turn 65: 983888 HEALTHY, 6898 INFECTED, 9224 DISEASED.
Turn 66: 981871 HEALTHY, 7810 INFECTED, 10329 DISEASED.
Turn 67: 979547 HEALTHY, 8773 INFECTED, 11690 DISEASED.
Turn 68: 976958 HEALTHY, 9930 INFECTED, 13122 DISEASED.
Turn 69: 974064 HEALTHY, 11219 INFECTED, 14727 DISEASED.
Turn 70: 970828 HEALTHY, 12538 INFECTED, 16644 DISEASED.
Turn 71: 967379 HEALTHY, 13901 INFECTED, 18730 DISEASED.
Turn 72: 963406 HEALTHY, 15563 INFECTED, 21041 DISEASED.
Turn 73: 959028 HEALTHY, 17412 INFECTED, 23570 DISEASED.
Turn 74: 954170 HEALTHY, 19377 INFECTED, 26463 DISEASED.
Turn 75: 948727 HEALTHY, 21531 INFECTED, 29752 DISEASED.
Turn 76: 942825 HEALTHY, 23919 INFECTED, 33266 DISEASED.
Turn 77: 935993 HEALTHY, 26784 INFECTED, 37233 DISEASED.
Turn 78: 928550 HEALTHY, 29847 INFECTED, 41613 DISEASED.
Turn 79: 920060 HEALTHY, 33282 INFECTED, 46668 DISEASED.
Turn 80: 911014 HEALTHY, 36761 INFECTED, 52235 DISEASED.
Turn 81: 901054 HEALTHY, 40564 INFECTED, 58392 DISEASED.
Turn 82: 889695 HEALTHY, 45214 INFECTED, 65101 DISEASED.
Turn 83: 877433 HEALTHY, 49883 INFECTED, 72694 DISEASED.
Turn 84: 864283 HEALTHY, 54827 INFECTED, 80900 DISEASED.
Turn 85: 849528 HEALTHY, 60440 INFECTED, 90042 DISEASED.
Turn 86: 833938 HEALTHY, 65999 INFECTED, 100073 DISEASED.
Turn 87: 816803 HEALTHY, 72155 INFECTED, 111052 DISEASED.
Turn 88: 798497 HEALTHY, 78487 INFECTED, 123026 DISEASED.
Turn 89: 779027 HEALTHY, 85057 INFECTED, 135926 DISEASED.
Turn 90: 757925 HEALTHY, 91983 INFECTED, 150102 DISEASED.
Turn 91: 735921 HEALTHY, 98710 INFECTED, 165379 DISEASED.
Turn 92: 712432 HEALTHY, 105868 INFECTED, 181710 DISEASED.
Turn 93: 687977 HEALTHY, 112891 INFECTED, 199142 DISEASED.
Turn 94: 662169 HEALTHY, 119789 INFECTED, 218052 DISEASED.
Turn 95: 635130 HEALTHY, 126967 INFECTED, 237913 DISEASED.
Turn 96: 607771 HEALTHY, 133264 INFECTED, 258975 DISEASED.
Turn 97: 579583 HEALTHY, 139233 INFECTED, 281194 DISEASED.
Turn 98: 551196 HEALTHY, 144353 INFECTED, 304461 DISEASED.
Turn 99: 522546 HEALTHY, 149034 INFECTED, 328430 DISEASED.
Turn 100: 494072 HEALTHY, 152815 INFECTED, 353123 DISEASED.
Turn 101: 466195 HEALTHY, 155257 INFECTED, 378558 DISEASED.
Turn 102: 438579 HEALTHY, 157027 INFECTED, 404404 DISEASED.
Turn 103: 411792 HEALTHY, 157535 INFECTED, 430683 DISEASED.
Turn 104: 385658 HEALTHY, 157458 INFECTED, 456894 DISEASED.
Turn 105: 360787 HEALTHY, 156028 INFECTED, 483195 DISEASED.
Turn 106: 336179 HEALTHY, 154555 INFECTED, 509276 DISEASED.
Turn 107: 313355 HEALTHY, 151719 INFECTED, 534936 DISEASED.
Turn 108: 291337 HEALTHY, 148079 INFECTED, 560594 DISEASED.
Turn 109: 270600 HEALTHY, 144056 INFECTED, 585354 DISEASED.
Turn 110: 251613 HEALTHY, 138903 INFECTED, 609494 DISEASED.
Turn 111: 233865 HEALTHY, 133534 INFECTED, 632611 DISEASED.
Turn 112: 217117 HEALTHY, 128152 INFECTED, 654741 DISEASED.
Turn 113: 201412 HEALTHY, 122069 INFECTED, 676529 DISEASED.
Turn 114: 187077 HEALTHY, 116026 INFECTED, 696907 DISEASED.
Turn 115: 173713 HEALTHY, 110140 INFECTED, 716157 DISEASED.
Turn 116: 161156 HEALTHY, 104399 INFECTED, 734455 DISEASED.
Turn 117: 149792 HEALTHY, 98406 INFECTED, 751812 DISEASED.
Turn 118: 139270 HEALTHY, 92489 INFECTED, 768251 DISEASED.
Turn 119: 129327 HEALTHY, 87051 INFECTED, 783632 DISEASED.
Turn 120: 119928 HEALTHY, 81997 INFECTED, 798085 DISEASED.
Turn 121: 111385 HEALTHY, 76906 INFECTED, 811719 DISEASED.
Turn 122: 103286 HEALTHY, 72292 INFECTED, 824432 DISEASED.
Turn 123: 95945 HEALTHY, 67494 INFECTED, 836571 DISEASED.
Turn 124: 88870 HEALTHY, 63421 INFECTED, 847719 DISEASED.
Turn 125: 82619 HEALTHY, 59093 INFECTED, 858298 DISEASED.
Turn 126: 76856 HEALTHY, 54929 INFECTED, 868225 DISEASED.
Turn 127: 71343 HEALTHY, 51340 INFECTED, 877327 DISEASED.
Turn 128: 66282 HEALTHY, 47802 INFECTED, 885926 DISEASED.
Turn 129: 61402 HEALTHY, 44600 INFECTED, 894008 DISEASED.
Turn 130: 57042 HEALTHY, 41620 INFECTED, 901348 DISEASED.
Turn 131: 52921 HEALTHY, 38800 INFECTED, 908289 DISEASED.
Turn 132: 48975 HEALTHY, 36229 INFECTED, 914806 DISEASED.
Turn 133: 45429 HEALTHY, 33692 INFECTED, 920889 DISEASED.
Turn 134: 42112 HEALTHY, 31376 INFECTED, 926522 DISEASED.
Turn 135: 39039 HEALTHY, 29179 INFECTED, 931792 DISEASED.
Turn 136: 36314 HEALTHY, 26964 INFECTED, 936732 DISEASED.
Turn 137: 33699 HEALTHY, 25077 INFECTED, 941234 DISEASED.
Turn 138: 31244 HEALTHY, 23373 INFECTED, 945393 DISEASED.
Turn 139: 28803 HEALTHY, 21959 INFECTED, 949248 DISEASED.
Turn 140: 26858 HEALTHY, 20251 INFECTED, 952901 DISEASED.
Turn 141: 24859 HEALTHY, 18872 INFECTED, 956279 DISEASED.
Turn 142: 22994 HEALTHY, 17624 INFECTED, 959392 DISEASED.
Turn 143: 21307 HEALTHY, 16319 INFECTED, 962384 DISEASED.
Turn 144: 19904 HEALTHY, 14958 INFECTED, 965148 DISEASED.
Turn 145: 18456 HEALTHY, 13964 INFECTED, 967590 DISEASED.
Turn 146: 17154 HEALTHY, 12946 INFECTED, 969910 DISEASED.
Turn 147: 15953 HEALTHY, 12018 INFECTED, 972039 DISEASED.
Turn 148: 14760 HEALTHY, 11203 INFECTED, 974047 DISEASED.
Turn 149: 13737 HEALTHY, 10344 INFECTED, 975929 DISEASED.
Turn 150: 12759 HEALTHY, 9618 INFECTED, 977633 DISEASED.
Turn 151: 11935 HEALTHY, 8894 INFECTED, 979181 DISEASED.
Turn 152: 11016 HEALTHY, 8319 INFECTED, 980675 DISEASED.
Turn 153: 10218 HEALTHY, 7709 INFECTED, 982083 DISEASED.
Turn 154: 9442 HEALTHY, 7231 INFECTED, 983337 DISEASED.
Turn 155: 8789 HEALTHY, 6645 INFECTED, 984576 DISEASED.
Turn 156: 8154 HEALTHY, 6141 INFECTED, 985715 DISEASED.
Turn 157: 7632 HEALTHY, 5601 INFECTED, 986777 DISEASED.
Turn 158: 7000 HEALTHY, 5307 INFECTED, 987703 DISEASED.
Turn 159: 6436 HEALTHY, 4959 INFECTED, 988615 DISEASED.
Turn 160: 5926 HEALTHY, 4646 INFECTED, 989438 DISEASED.
Turn 161: 5429 HEALTHY, 4361 INFECTED, 990220 DISEASED.
Turn 162: 4978 HEALTHY, 4084 INFECTED, 990948 DISEASED.
Turn 163: 4606 HEALTHY, 3820 INFECTED, 991584 DISEASED.
Turn 164: 4284 HEALTHY, 3478 INFECTED, 992248 DISEASED.
Turn 165: 3984 HEALTHY, 3181 INFECTED, 992845 DISEASED.
Turn 166: 3728 HEALTHY, 2892 INFECTED, 993390 DISEASED.
Turn 167: 3431 HEALTHY, 2723 INFECTED, 993856 DISEASED.
Turn 168: 3169 HEALTHY, 2536 INFECTED, 994305 DISEASED.
Turn 169: 3007 HEALTHY, 2268 INFECTED, 994735 DISEASED.
Turn 170: 2776 HEALTHY, 2141 INFECTED, 995093 DISEASED.
Turn 171: 2588 HEALTHY, 1952 INFECTED, 995470 DISEASED.
Turn 172: 2419 HEALTHY, 1807 INFECTED, 995784 DISEASED.
Turn 173: 2265 HEALTHY, 1669 INFECTED, 996076 DISEASED.
Turn 174: 2145 HEALTHY, 1509 INFECTED, 996356 DISEASED.
Turn 175: 1985 HEALTHY, 1403 INFECTED, 996622 DISEASED.
Turn 176: 1871 HEALTHY, 1291 INFECTED, 996848 DISEASED.
Turn 177: 1744 HEALTHY, 1199 INFECTED, 997067 DISEASED.
Turn 178: 1586 HEALTHY, 1137 INFECTED, 997287 DISEASED.
Turn 179: 1484 HEALTHY, 1034 INFECTED, 997492 DISEASED.
Turn 180: 1411 HEALTHY, 954 INFECTED, 997645 DISEASED.
Turn 181: 1282 HEALTHY, 923 INFECTED, 997805 DISEASED.
Turn 182: 1197 HEALTHY, 877 INFECTED, 997936 DISEASED.
Turn 183: 1080 HEALTHY, 854 INFECTED, 998076 DISEASED.
Turn 184: 1001 HEALTHY, 807 INFECTED, 998202 DISEASED.
Turn 185: 927 HEALTHY, 728 INFECTED, 998355 DISEASED.
Turn 186: 848 HEALTHY, 667 INFECTED, 998495 DISEASED.
Turn 187: 812 HEALTHY, 599 INFECTED, 998599 DISEASED.
Turn 188: 759 HEALTHY, 548 INFECTED, 998703 DISEASED.
Turn 189: 694 HEALTHY, 522 INFECTED, 998794 DISEASED.
Turn 190: 615 HEALTHY, 500 INFECTED, 998895 DISEASED.
Turn 191: 599 HEALTHY, 432 INFECTED, 998979 DISEASED.
Turn 192: 541 HEALTHY, 417 INFECTED, 999052 DISEASED.
Turn 193: 497 HEALTHY, 398 INFECTED, 999115 DISEASED.
Turn 194: 468 HEALTHY, 355 INFECTED, 999187 DISEASED.
Turn 195: 448 HEALTHY, 320 INFECTED, 999242 DISEASED.
Turn 196: 419 HEALTHY, 289 INFECTED, 999302 DISEASED.
Turn 197: 377 HEALTHY, 281 INFECTED, 999352 DISEASED.
Turn 198: 363 HEALTHY, 251 INFECTED, 999396 DISEASED.
Turn 199: 344 HEALTHY, 226 INFECTED, 999440 DISEASED.
Turn 200: 319 HEALTHY, 218 INFECTED, 999473 DISEASED.
Turn 201: 294 HEALTHY, 206 INFECTED, 999510 DISEASED.
Turn 202: 275 HEALTHY, 181 INFECTED, 999554 DISEASED.
Turn 203: 262 HEALTHY, 169 INFECTED, 999579 DISEASED.
Turn 204: 240 HEALTHY, 160 INFECTED, 999610 DISEASED.
Turn 205: 216 HEALTHY, 153 INFECTED, 999641 DISEASED.
Turn 206: 188 HEALTHY, 163 INFECTED, 999659 DISEASED.
Turn 207: 164 HEALTHY, 165 INFECTED, 999681 DISEASED.
Turn 208: 150 HEALTHY, 155 INFECTED, 999705 DISEASED.
Turn 209: 148 HEALTHY, 134 INFECTED, 999728 DISEASED.
Turn 210: 126 HEALTHY, 133 INFECTED, 999751 DISEASED.
Turn 211: 111 HEALTHY, 128 INFECTED, 999771 DISEASED.
Turn 212: 106 HEALTHY, 115 INFECTED, 999789 DISEASED.
Turn 213: 109 HEALTHY, 97 INFECTED, 999804 DISEASED.
Turn 214: 98 HEALTHY, 86 INFECTED, 999826 DISEASED.
Turn 215: 94 HEALTHY, 82 INFECTED, 999834 DISEASED.
Turn 216: 95 HEALTHY, 73 INFECTED, 999842 DISEASED.
Turn 217: 78 HEALTHY, 74 INFECTED, 999858 DISEASED.
Turn 218: 71 HEALTHY, 62 INFECTED, 999877 DISEASED.
Turn 219: 65 HEALTHY, 53 INFECTED, 999892 DISEASED.
Turn 220: 63 HEALTHY, 45 INFECTED, 999902 DISEASED.
Turn 221: 59 HEALTHY, 44 INFECTED, 999907 DISEASED.
Turn 222: 54 HEALTHY, 46 INFECTED, 999910 DISEASED.
Turn 223: 53 HEALTHY, 35 INFECTED, 999922 DISEASED.
Turn 224: 47 HEALTHY, 32 INFECTED, 999931 DISEASED.
Turn 225: 39 HEALTHY, 31 INFECTED, 999940 DISEASED.
Turn 226: 33 HEALTHY, 31 INFECTED, 999946 DISEASED.
Turn 227: 31 HEALTHY, 28 INFECTED, 999951 DISEASED.
Turn 228: 32 HEALTHY, 24 INFECTED, 999954 DISEASED.
Turn 229: 30 HEALTHY, 23 INFECTED, 999957 DISEASED.
Turn 230: 29 HEALTHY, 24 INFECTED, 999957 DISEASED.
Turn 231: 31 HEALTHY, 21 INFECTED, 999958 DISEASED.
Turn 232: 29 HEALTHY, 22 INFECTED, 999959 DISEASED.
Turn 233: 25 HEALTHY, 24 INFECTED, 999961 DISEASED.
Turn 234: 22 HEALTHY, 23 INFECTED, 999965 DISEASED.
Turn 235: 22 HEALTHY, 17 INFECTED, 999971 DISEASED.
Turn 236: 24 HEALTHY, 13 INFECTED, 999973 DISEASED.
Turn 237: 23 HEALTHY, 11 INFECTED, 999976 DISEASED.
Turn 238: 20 HEALTHY, 13 INFECTED, 999977 DISEASED.
Turn 239: 19 HEALTHY, 13 INFECTED, 999978 DISEASED.
Turn 240: 16 HEALTHY, 11 INFECTED, 999983 DISEASED.
Turn 241: 13 HEALTHY, 12 INFECTED, 999985 DISEASED.
Turn 242: 14 HEALTHY, 10 INFECTED, 999986 DISEASED.
Turn 243: 14 HEALTHY, 8 INFECTED, 999988 DISEASED.
Turn 244: 10 HEALTHY, 9 INFECTED, 999991 DISEASED.
Turn 245: 7 HEALTHY, 9 INFECTED, 999994 DISEASED.
Turn 246: 6 HEALTHY, 10 INFECTED, 999994 DISEASED.
Turn 247: 6 HEALTHY, 10 INFECTED, 999994 DISEASED.
Turn 248: 4 HEALTHY, 8 INFECTED, 999998 DISEASED.
Turn 249: 6 HEALTHY, 5 INFECTED, 999999 DISEASED.
Turn 250: 5 HEALTHY, 5 INFECTED, 1000000 DISEASED.
Turn 251: 5 HEALTHY, 3 INFECTED, 1000002 DISEASED.
Turn 252: 3 HEALTHY, 4 INFECTED, 1000003 DISEASED.
Turn 253: 3 HEALTHY, 3 INFECTED, 1000004 DISEASED.
Turn 254: 3 HEALTHY, 3 INFECTED, 1000004 DISEASED.
Turn 255: 1 HEALTHY, 5 INFECTED, 1000004 DISEASED.
Turn 256: 2 HEALTHY, 4 INFECTED, 1000004 DISEASED.
Turn 257: 3 HEALTHY, 3 INFECTED, 1000004 DISEASED.
Turn 258: 4 HEALTHY, 1 INFECTED, 1000005 DISEASED.
Turn 259: 3 HEALTHY, 2 INFECTED, 1000005 DISEASED.
Turn 260: 4 HEALTHY, 1 INFECTED, 1000005 DISEASED.
Turn 261: 4 HEALTHY, 1 INFECTED, 1000005 DISEASED.
Turn 262: 5 HEALTHY, 0 INFECTED, 1000005 DISEASED.
Turn 263: 5 HEALTHY, 0 INFECTED, 1000005 DISEASED.
Turn 264: 5 HEALTHY, 0 INFECTED, 1000005 DISEASED.
Turn 265: 5 HEALTHY, 0 INFECTED, 1000005 DISEASED.
Turn 266: 5 HEALTHY, 0 INFECTED, 1000005 DISEASED.
Turn 267: 5 HEALTHY, 0 INFECTED, 1000005 DISEASED.
Turn 268: 5 HEALTHY, 0 INFECTED, 1000005 DISEASED.
Turn 269: 5 HEALTHY, 0 INFECTED, 1000005 DISEASED.
Turn 270: 5 HEALTHY, 0 INFECTED, 1000005 DISEASED.
Turn 271: 5 HEALTHY, 0 INFECTED, 1000005 DISEASED.
Turn 272: 5 HEALTHY, 0 INFECTED, 1000005 DISEASED.
Turn 273: 5 HEALTHY, 0 INFECTED, 1000005 DISEASED.
Turn 274: 5 HEALTHY, 0 INFECTED, 1000005 DISEASED.
Turn 275: 5 HEALTHY, 0 INFECTED, 1000005 DISEASED.
Turn 276: 5 HEALTHY, 0 INFECTED, 1000005 DISEASED.
Turn 277: 5 HEALTHY, 0 INFECTED, 1000005 DISEASED.
Turn 278: 5 HEALTHY, 0 INFECTED, 1000005 DISEASED.
Turn 279: 5 HEALTHY, 0 INFECTED, 1000005 DISEASED.
Turn 280: 5 HEALTHY, 0 INFECTED, 1000005 DISEASED.
Turn 281: 5 HEALTHY, 0 INFECTED, 1000005 DISEASED.
Turn 282: 5 HEALTHY, 0 INFECTED, 1000005 DISEASED.
Turn 283: 5 HEALTHY, 0 INFECTED, 1000005 DISEASED.
Turn 284: 5 HEALTHY, 0 INFECTED, 1000005 DISEASED.
Turn 285: 5 HEALTHY, 0 INFECTED, 1000005 DISEASED.
Turn 286: 5 HEALTHY, 0 INFECTED, 1000005 DISEASED.
Turn 287: 5 HEALTHY, 0 INFECTED, 1000005 DISEASED.
Turn 288: 5 HEALTHY, 0 INFECTED, 1000005 DISEASED.
Turn 289: 5 HEALTHY, 0 INFECTED, 1000005 DISEASED.
Turn 290: 5 HEALTHY, 0 INFECTED, 1000005 DISEASED.
Turn 291: 5 HEALTHY, 0 INFECTED, 1000005 DISEASED.
Turn 292: 5 HEALTHY, 0 INFECTED, 1000005 DISEASED.
Turn 293: 5 HEALTHY, 0 INFECTED, 1000005 DISEASED.
Turn 294: 5 HEALTHY, 0 INFECTED, 1000005 DISEASED.
Turn 295: 5 HEALTHY, 0 INFECTED, 1000005 DISEASED.
Turn 296: 5 HEALTHY, 0 INFECTED, 1000005 DISEASED.
Turn 297: 5 HEALTHY, 0 INFECTED, 1000005 DISEASED.
Turn 298: 5 HEALTHY, 0 INFECTED, 1000005 DISEASED.
Turn 299: 5 HEALTHY, 0 INFECTED, 1000005 DISEASED.
Turn 300: 5 HEALTHY, 0 INFECTED, 1000005 DISEASED.
